year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,0
2020,cancers,25,female,total,3
2020,cancers,30,female,total,18
2020,cancers,35,female,total,57
2020,cancers,40,female,total,107
2020,cancers,45,female,total,152
2020,cancers,50,female,total,200
2020,cancers,55,female,total,223
2020,cancers,60,female,total,213
2020,cancers,65,female,total,165
2020,cancers,70,female,total,130
2020,cancers,75,female,total,76
2020,cancers,80,female,total,37
2020,cancers,85,female,total,26
